customer_id,trans_date,tran_amount
CS8303,16/5/2018,42
CS8932,16/5/2018,79
CS7222,16/5/2018,43
CS8014,16/5/2018,30
CS8594,16/5/2018,38
CS8522,16/5/2018,27
CS7778,16/5/2018,70
CS8725,16/5/2018,10
CS5531,17/5/2018,58
CS5185,17/5/2018,56
CS3624,17/5/2018,76
CS5756,17/5/2018,74
CS5016,17/5/2018,59
CS5008,17/5/2018,60
CS1387,17/5/2018,38
CS3852,17/5/2018,96
CS2017,17/5/2018,35
CS5857,17/5/2018,90
CS2419,17/5/2018,43
CS5882,17/5/2018,43
CS1270,17/5/2018,82
CS1776,17/5/2018,90
CS1316,17/5/2018,63
CS5584,17/5/2018,92
CS2975,17/5/2018,54
CS5591,17/5/2018,62
CS1740,17/5/2018,87
CS5118,17/5/2018,39
CS5974,17/5/2018,89
CS1800,17/5/2018,73
CS2614,17/5/2018,74
CS3688,17/5/2018,95
CS1175,17/5/2018,92
CS3713,17/5/2018,99
CS3059,17/5/2018,60
CS2117,17/5/2018,75
CS5583,17/5/2018,64
CS1436,17/5/2018,94
CS1722,17/5/2018,44
CS6015,17/5/2018,81
CS4515,17/5/2018,92
CS5280,17/5/2018,84
CS3279,17/5/2018,83
CS4468,17/5/2018,71
CS3859,17/5/2018,46
CS3543,17/5/2018,86
CS5802,17/5/2018,83
CS1250,17/5/2018,49
CS3954,17/5/2018,104
CS5463,17/5/2018,102
CS1588,17/5/2018,39
CS1925,17/5/2018,70
CS2035,17/5/2018,98
CS4474,17/5/2018,86
CS5142,17/5/2018,36
CS2721,17/5/2018,96
CS1371,17/5/2018,59
CS3550,17/5/2018,80
CS3483,17/5/2018,66
CS2468,17/5/2018,64
CS1712,17/5/2018,96
CS3692,17/5/2018,50
CS4116,17/5/2018,98
CS1756,17/5/2018,54
CS3202,17/5/2018,63
CS2695,17/5/2018,39
CS1391,17/5/2018,103
CS1784,17/5/2018,45
CS3366,17/5/2018,105
CS3848,17/5/2018,86
CS1747,17/5/2018,87
CS1949,17/5/2018,98
CS7387,17/5/2018,11
CS8017,17/5/2018,45
CS7270,17/5/2018,47
CS7316,17/5/2018,60
CS7740,17/5/2018,50
CS8614,17/5/2018,19
CS7175,17/5/2018,44
CS8117,17/5/2018,76
CS7722,17/5/2018,70
CS7250,17/5/2018,76
CS7588,17/5/2018,45
CS8035,17/5/2018,67
CS8721,17/5/2018,75
CS7371,17/5/2018,75
CS7712,17/5/2018,78
CS8695,17/5/2018,19
CS7784,17/5/2018,58
CS5474,18/5/2018,69
CS3775,18/5/2018,37
CS5197,18/5/2018,89
CS2119,18/5/2018,84
CS1187,18/5/2018,95
CS1365,18/5/2018,85
CS3073,18/5/2018,36
CS2623,18/5/2018,65
CS3906,18/5/2018,52
CS3005,18/5/2018,59
CS1610,18/5/2018,94
CS5210,18/5/2018,84
CS6004,18/5/2018,56
CS5990,18/5/2018,45
CS2097,18/5/2018,41
CS3386,18/5/2018,48
CS1172,18/5/2018,96
CS1118,18/5/2018,43
CS2821,18/5/2018,86
CS2208,18/5/2018,102
CS4191,18/5/2018,59
CS3572,18/5/2018,57
CS3194,18/5/2018,35
CS1918,18/5/2018,60
CS4976,18/5/2018,67
CS2911,18/5/2018,101
CS5812,18/5/2018,56
CS2790,18/5/2018,94
CS5821,18/5/2018,97
CS4515,18/5/2018,36
CS4445,18/5/2018,52
CS2945,18/5/2018,78
CS1280,18/5/2018,46
CS2189,18/5/2018,76
CS4878,18/5/2018,45
CS4702,18/5/2018,36
CS5001,18/5/2018,48
CS5853,18/5/2018,54
CS3079,18/5/2018,36
CS1347,18/5/2018,59
CS2414,18/5/2018,88
CS5135,18/5/2018,56
CS2898,18/5/2018,54
CS1507,18/5/2018,40
CS2734,18/5/2018,43
CS1515,18/5/2018,86
CS3280,18/5/2018,75
CS6014,18/5/2018,53
CS4433,18/5/2018,60
CS5466,18/5/2018,100
CS2620,18/5/2018,89
CS5947,18/5/2018,64
CS4105,18/5/2018,102
CS5125,18/5/2018,72
CS2811,18/5/2018,40
CS5314,18/5/2018,64
CS5346,18/5/2018,55
CS4508,18/5/2018,38
CS3406,18/5/2018,89
CS4055,18/5/2018,44
CS4036,18/5/2018,72
CS5234,18/5/2018,87
CS3773,18/5/2018,35
CS2936,18/5/2018,55
CS2203,18/5/2018,62
CS4565,18/5/2018,67
CS2267,18/5/2018,82
CS3956,18/5/2018,38
CS5920,18/5/2018,90
CS2322,18/5/2018,89
CS5236,18/5/2018,90
CS8119,18/5/2018,53
CS7187,18/5/2018,67
CS7365,18/5/2018,35
CS8623,18/5/2018,22
CS7610,18/5/2018,21
CS8097,18/5/2018,47
CS7172,18/5/2018,46
CS7118,18/5/2018,70
CS7918,18/5/2018,64
CS8790,18/5/2018,31
CS8945,18/5/2018,33
CS7280,18/5/2018,57
CS7347,18/5/2018,44
CS8414,18/5/2018,62
CS8898,18/5/2018,19
CS7507,18/5/2018,68
CS8734,18/5/2018,79
CS7515,18/5/2018,58
CS8620,18/5/2018,40
CS8811,18/5/2018,47
CS8936,18/5/2018,73
CS8203,18/5/2018,25
CS5290,19/5/2018,50
CS5289,19/5/2018,43
CS5133,19/5/2018,89
CS3080,19/5/2018,76
CS5216,19/5/2018,94
CS3073,19/5/2018,61
CS1927,19/5/2018,64
CS4781,19/5/2018,48
CS2784,19/5/2018,83
CS3686,19/5/2018,40
CS3457,19/5/2018,104
CS5256,19/5/2018,49
CS1254,19/5/2018,105
CS6059,19/5/2018,86
CS4654,19/5/2018,88
CS1486,19/5/2018,70
CS6103,19/5/2018,87
CS1461,19/5/2018,84
CS2416,19/5/2018,38
CS2575,19/5/2018,82
CS5025,19/5/2018,51
CS2128,19/5/2018,68
CS2820,19/5/2018,56
CS5171,19/5/2018,41
CS3849,19/5/2018,98
CS1339,19/5/2018,96
CS4472,19/5/2018,94
CS1395,19/5/2018,97
CS1480,19/5/2018,77
CS1712,19/5/2018,55
CS1205,19/5/2018,40
CS5762,19/5/2018,36
CS5460,19/5/2018,99
CS3206,19/5/2018,46
CS1880,19/5/2018,101
CS3201,19/5/2018,98
CS1746,19/5/2018,66
CS3042,19/5/2018,57
CS1903,19/5/2018,72
CS1691,19/5/2018,69
CS2335,19/5/2018,50
CS5304,19/5/2018,94
CS4265,19/5/2018,93
CS4440,19/5/2018,101
CS5493,19/5/2018,105
CS4219,19/5/2018,65
CS5347,19/5/2018,76
CS3507,19/5/2018,97
CS2777,19/5/2018,63
CS5603,19/5/2018,99
CS5120,19/5/2018,102
CS4192,19/5/2018,104
CS3312,19/5/2018,45
CS5902,19/5/2018,92
CS5299,19/5/2018,94
CS4841,19/5/2018,43
CS2115,19/5/2018,93
CS5124,19/5/2018,69
CS4466,19/5/2018,102
CS2511,19/5/2018,46
CS5616,19/5/2018,87
CS6060,19/5/2018,83
CS3583,19/5/2018,54
CS5556,19/5/2018,64
CS4592,19/5/2018,63
CS1412,19/5/2018,48
CS1587,19/5/2018,55
CS3122,19/5/2018,53
CS7927,19/5/2018,75
CS8784,19/5/2018,72
CS7486,19/5/2018,70
CS7461,19/5/2018,30
CS8575,19/5/2018,11
CS8128,19/5/2018,68
CS7339,19/5/2018,33
CS7395,19/5/2018,15
CS7480,19/5/2018,12
CS7205,19/5/2018,78
CS7880,19/5/2018,18
CS7903,19/5/2018,36
CS7691,19/5/2018,47
CS8335,19/5/2018,52
CS8777,19/5/2018,53
CS8115,19/5/2018,66
CS8511,19/5/2018,45
CS4637,20/5/2018,71
CS5983,20/5/2018,47
CS1754,20/5/2018,86
CS4912,20/5/2018,69
CS2622,20/5/2018,35
CS3747,20/5/2018,55
CS1645,20/5/2018,57
CS2577,20/5/2018,47
CS4768,20/5/2018,80
CS1406,20/5/2018,53
CS3597,20/5/2018,72
CS5947,20/5/2018,89
CS3831,20/5/2018,65
CS2428,20/5/2018,51
CS1117,20/5/2018,98
CS2211,20/5/2018,92
CS5221,20/5/2018,60
CS5663,20/5/2018,98
CS4211,20/5/2018,71
CS4783,20/5/2018,47
CS5077,20/5/2018,90
CS2824,20/5/2018,38
CS3827,20/5/2018,95
CS2496,20/5/2018,93
CS1389,20/5/2018,38
CS6006,20/5/2018,37
CS5485,20/5/2018,91
CS1894,20/5/2018,63
CS4347,20/5/2018,71
CS1781,20/5/2018,82
CS3335,20/5/2018,55
CS2493,20/5/2018,41
CS2951,20/5/2018,63
CS1302,20/5/2018,102
CS3282,20/5/2018,103
CS1210,20/5/2018,75
CS3020,20/5/2018,40
CS2568,20/5/2018,58
CS3573,20/5/2018,65
CS4560,20/5/2018,57
CS5813,20/5/2018,36
CS2690,20/5/2018,62
CS6056,20/5/2018,46
CS5600,20/5/2018,58
CS5393,20/5/2018,74
CS3067,20/5/2018,43
CS1404,20/5/2018,39
CS2054,20/5/2018,102
CS5620,20/5/2018,45
CS1236,20/5/2018,57
CS5397,20/5/2018,93
CS4888,20/5/2018,39
CS4482,20/5/2018,55
CS2166,20/5/2018,97
CS5952,20/5/2018,39
CS3983,20/5/2018,47
CS3490,20/5/2018,41
CS5907,20/5/2018,49
CS1612,20/5/2018,92
CS2620,20/5/2018,64
CS3813,20/5/2018,100
CS4888,20/5/2018,95
CS3623,20/5/2018,40
CS3588,20/5/2018,76
CS2591,20/5/2018,103
CS4003,20/5/2018,43
CS3894,20/5/2018,74
CS1553,20/5/2018,63
CS3924,20/5/2018,90
CS4358,20/5/2018,47
CS3218,20/5/2018,104
CS2711,20/5/2018,86
CS1309,20/5/2018,90
CS4154,20/5/2018,92
CS4669,20/5/2018,88
CS4593,20/5/2018,98
CS8622,20/5/2018,66
CS7645,20/5/2018,62
CS8577,20/5/2018,40
CS7406,20/5/2018,16
CS7117,20/5/2018,28
CS8211,20/5/2018,36
CS8824,20/5/2018,24
CS8496,20/5/2018,40
CS7389,20/5/2018,20
CS7781,20/5/2018,31
CS8951,20/5/2018,44
CS7302,20/5/2018,66
CS7210,20/5/2018,34
CS8568,20/5/2018,49
CS8690,20/5/2018,78
CS7404,20/5/2018,76
CS7236,20/5/2018,41
CS7612,20/5/2018,70
CS7553,20/5/2018,16
CS8711,20/5/2018,14
CS1981,21/5/2018,71
CS5467,21/5/2018,67
CS1316,21/5/2018,53
CS2075,21/5/2018,95
CS3011,21/5/2018,45
CS2344,21/5/2018,57
CS2512,21/5/2018,96
CS5023,21/5/2018,104
CS3100,21/5/2018,87
CS4374,21/5/2018,43
CS3304,21/5/2018,39
CS4077,21/5/2018,60
CS5512,21/5/2018,80
CS1681,21/5/2018,89
CS1935,21/5/2018,84
CS3558,21/5/2018,87
CS3633,21/5/2018,78
CS5892,21/5/2018,89
CS5148,21/5/2018,58
CS2976,21/5/2018,44
CS4658,21/5/2018,50
CS4461,21/5/2018,42
CS5846,21/5/2018,35
CS3470,21/5/2018,65
CS6099,21/5/2018,87
CS3195,21/5/2018,43
CS1241,21/5/2018,98
CS2208,21/5/2018,97
CS2479,21/5/2018,67
CS2448,21/5/2018,105
CS3656,21/5/2018,72
CS4082,21/5/2018,69
CS5610,21/5/2018,68
CS2526,21/5/2018,55
CS5891,21/5/2018,82
CS5190,21/5/2018,81
CS1649,21/5/2018,105
CS2708,21/5/2018,81
CS3368,21/5/2018,66
CS1140,21/5/2018,75
CS5752,21/5/2018,102
CS2187,21/5/2018,67
CS4968,21/5/2018,82
CS2922,21/5/2018,82
CS5717,21/5/2018,50
CS2245,21/5/2018,35
CS3901,21/5/2018,52
CS3019,21/5/2018,72
CS2749,21/5/2018,64
CS5961,21/5/2018,61
CS1750,21/5/2018,44
CS3646,21/5/2018,74
CS3252,21/5/2018,68
CS4055,21/5/2018,67
CS3517,21/5/2018,64
CS2657,21/5/2018,73
CS4022,21/5/2018,103
CS2738,21/5/2018,85
CS5433,21/5/2018,97
CS1163,21/5/2018,70
CS5678,21/5/2018,49
CS1525,21/5/2018,58
CS3229,21/5/2018,45
CS1869,21/5/2018,71
CS1566,21/5/2018,85
CS3567,21/5/2018,61
CS4548,21/5/2018,54
CS1989,21/5/2018,73
CS4397,21/5/2018,53
CS4213,21/5/2018,43
CS3374,21/5/2018,43
CS4934,21/5/2018,95
CS3310,21/5/2018,102
CS2379,21/5/2018,62
CS7981,21/5/2018,19
CS7316,21/5/2018,76
CS8075,21/5/2018,20
CS8512,21/5/2018,70
CS8976,21/5/2018,16
CS8208,21/5/2018,26
CS8526,21/5/2018,68
CS7649,21/5/2018,16
CS8708,21/5/2018,59
CS8187,21/5/2018,43
CS8922,21/5/2018,20
CS8245,21/5/2018,55
CS8749,21/5/2018,48
CS7750,21/5/2018,54
CS8657,21/5/2018,79
CS7566,21/5/2018,21
CS7989,21/5/2018,22
CS3702,22/5/2018,45
CS5291,22/5/2018,36
CS4885,22/5/2018,36
CS2798,22/5/2018,62
CS3442,22/5/2018,102
CS2134,22/5/2018,81
CS5996,22/5/2018,89
CS1454,22/5/2018,61
CS3442,22/5/2018,63
CS1567,22/5/2018,101
CS4337,22/5/2018,69
CS4673,22/5/2018,43
CS5921,22/5/2018,38
CS3978,22/5/2018,76
CS3647,22/5/2018,94
CS1217,22/5/2018,96
CS4198,22/5/2018,99
CS2769,22/5/2018,37
CS3722,22/5/2018,38
CS2029,22/5/2018,56
CS4912,22/5/2018,52
CS4639,22/5/2018,36
CS5156,22/5/2018,64
CS3624,22/5/2018,38
CS1727,22/5/2018,79
CS3375,22/5/2018,76
CS3649,22/5/2018,104
CS1450,22/5/2018,64
CS3939,22/5/2018,70
CS2109,22/5/2018,70
CS3855,22/5/2018,94
CS3842,22/5/2018,100
CS1858,22/5/2018,39
CS4702,22/5/2018,103
CS4144,22/5/2018,58
CS2548,22/5/2018,73
CS6053,22/5/2018,65
CS1381,22/5/2018,61
CS2911,22/5/2018,97
CS5142,22/5/2018,81
CS4760,22/5/2018,81
CS5055,22/5/2018,67
CS3751,22/5/2018,73
CS4877,22/5/2018,74
CS2247,22/5/2018,69
CS2423,22/5/2018,77
CS5622,22/5/2018,78
CS5323,22/5/2018,74
CS5151,22/5/2018,64
CS3639,22/5/2018,95
CS4362,22/5/2018,75
CS1831,22/5/2018,63
CS2308,22/5/2018,63
CS4395,22/5/2018,54
CS3358,22/5/2018,46
CS6029,22/5/2018,63
CS5959,22/5/2018,83
CS4576,22/5/2018,90
CS3935,22/5/2018,91
CS5483,22/5/2018,69
CS4572,22/5/2018,40
CS4973,22/5/2018,52
CS5759,22/5/2018,82
CS3805,22/5/2018,104
CS3651,22/5/2018,45
CS3868,22/5/2018,83
CS5456,22/5/2018,101
CS5950,22/5/2018,38
CS3655,22/5/2018,49
CS4633,22/5/2018,91
CS3798,22/5/2018,86
CS1830,22/5/2018,73
CS4746,22/5/2018,37
CS8798,22/5/2018,34
CS8134,22/5/2018,21
CS7567,22/5/2018,17
CS7217,22/5/2018,39
CS8769,22/5/2018,57
CS8029,22/5/2018,67
CS7727,22/5/2018,63
CS7450,22/5/2018,40
CS8109,22/5/2018,17
CS7858,22/5/2018,19
CS8247,22/5/2018,18
CS8423,22/5/2018,49
CS7831,22/5/2018,75
CS8308,22/5/2018,20
CS3104,23/5/2018,78
CS1751,23/5/2018,70
CS2834,23/5/2018,99
CS2560,23/5/2018,91
CS3165,23/5/2018,93
CS1395,23/5/2018,89
CS1845,23/5/2018,94
CS5494,23/5/2018,83
CS1582,23/5/2018,80
CS3397,23/5/2018,102
CS2832,23/5/2018,53
CS5413,23/5/2018,53
CS5989,23/5/2018,76
CS4280,23/5/2018,60
CS4666,23/5/2018,51
CS1230,23/5/2018,47
CS5591,23/5/2018,83
CS4886,23/5/2018,68
CS2345,23/5/2018,84
CS1657,23/5/2018,101
CS5172,23/5/2018,62
CS3377,23/5/2018,81
CS2642,23/5/2018,81
CS2564,23/5/2018,61
CS3789,23/5/2018,82
CS1162,23/5/2018,94
CS2823,23/5/2018,64
CS3777,23/5/2018,54
CS1434,23/5/2018,68
CS5148,23/5/2018,84
CS1948,23/5/2018,86
CS3273,23/5/2018,72
CS5580,23/5/2018,48
CS2778,23/5/2018,96
CS2251,23/5/2018,96
CS2083,23/5/2018,83
CS1766,23/5/2018,56
CS5445,23/5/2018,38
CS3853,23/5/2018,62
CS2281,23/5/2018,60
CS4204,23/5/2018,68
CS5811,23/5/2018,105
CS1745,23/5/2018,105
CS6010,23/5/2018,100
CS2746,23/5/2018,71
CS5027,23/5/2018,67
CS2028,23/5/2018,96
CS5554,23/5/2018,82
CS3565,23/5/2018,49
CS5428,23/5/2018,49
CS4187,23/5/2018,64
CS3170,23/5/2018,51
CS4072,23/5/2018,50
CS5976,23/5/2018,47
CS4220,23/5/2018,75
CS3557,23/5/2018,100
CS5869,23/5/2018,47
CS5607,23/5/2018,61
CS5449,23/5/2018,65
CS3852,23/5/2018,45
CS1680,23/5/2018,38
CS5262,23/5/2018,103
CS2180,23/5/2018,69
CS7751,23/5/2018,56
CS8834,23/5/2018,16
CS8560,23/5/2018,67
CS7395,23/5/2018,58
CS7845,23/5/2018,13
CS7582,23/5/2018,53
CS8832,23/5/2018,32
CS7230,23/5/2018,55
CS8345,23/5/2018,10
CS7657,23/5/2018,34
CS8642,23/5/2018,76
CS8564,23/5/2018,60
CS7162,23/5/2018,62
CS8823,23/5/2018,50
CS7434,23/5/2018,43
CS7948,23/5/2018,56
CS8778,23/5/2018,42
CS8083,23/5/2018,24
CS7766,23/5/2018,56
CS7745,23/5/2018,13
CS8746,23/5/2018,49
CS8028,23/5/2018,45
CS1866,24/5/2018,82
CS3076,24/5/2018,94
CS1504,24/5/2018,42
CS6096,24/5/2018,49
CS4834,24/5/2018,36
CS4820,24/5/2018,95
CS3810,24/5/2018,81
CS5393,24/5/2018,98
CS3763,24/5/2018,82
CS1297,24/5/2018,105
CS5475,24/5/2018,96
CS4950,24/5/2018,86
CS5578,24/5/2018,84
CS1768,24/5/2018,88
CS3833,24/5/2018,66
CS1138,24/5/2018,95
CS2707,24/5/2018,78
CS2320,24/5/2018,104
CS2575,24/5/2018,59
CS2865,24/5/2018,105
CS1679,24/5/2018,35
CS4356,24/5/2018,86
CS2653,24/5/2018,102
CS3255,24/5/2018,36
CS4555,24/5/2018,49
CS3755,24/5/2018,43
CS5385,24/5/2018,49
CS2448,24/5/2018,48
CS4711,24/5/2018,35
CS4756,24/5/2018,79
CS3011,24/5/2018,54
CS5342,24/5/2018,89
CS1948,24/5/2018,71
CS2184,24/5/2018,52
CS1917,24/5/2018,87
CS5816,24/5/2018,88
CS2263,24/5/2018,79
CS5344,24/5/2018,95
CS3311,24/5/2018,46
CS3753,24/5/2018,77
CS1676,24/5/2018,99
CS1475,24/5/2018,68
CS1522,24/5/2018,84
CS3890,24/5/2018,98
CS5332,24/5/2018,102
CS5586,24/5/2018,38
CS2165,24/5/2018,46
CS4119,24/5/2018,42
CS5627,24/5/2018,104
CS3950,24/5/2018,82
CS3048,24/5/2018,91
CS3249,24/5/2018,94
CS4026,24/5/2018,104
CS4889,24/5/2018,99
CS1206,24/5/2018,36
CS1648,24/5/2018,41
CS1205,24/5/2018,65
CS3506,24/5/2018,56
CS4651,24/5/2018,55
CS3719,24/5/2018,63
CS3074,24/5/2018,80
CS4897,24/5/2018,96
CS3029,24/5/2018,56
CS3062,24/5/2018,97
CS4089,24/5/2018,75
CS2516,24/5/2018,65
CS2749,24/5/2018,77
CS1167,24/5/2018,78
CS5245,24/5/2018,95
CS2327,24/5/2018,80
CS6082,24/5/2018,82
CS5168,24/5/2018,83
CS4946,24/5/2018,55
CS4841,24/5/2018,92
CS6078,24/5/2018,44
CS4136,24/5/2018,75
CS4797,24/5/2018,48
CS3102,24/5/2018,83
CS3715,24/5/2018,88
CS5980,24/5/2018,35
CS1285,24/5/2018,51
CS5310,24/5/2018,52
CS2231,24/5/2018,48
CS4042,24/5/2018,65
CS4572,24/5/2018,48
CS1128,24/5/2018,104
CS3714,24/5/2018,61
CS4165,24/5/2018,56
CS5677,24/5/2018,37
CS5352,24/5/2018,51
CS1644,24/5/2018,105
CS7866,24/5/2018,18
CS7504,24/5/2018,57
CS7297,24/5/2018,50
CS8707,24/5/2018,21
CS8320,24/5/2018,32
CS8575,24/5/2018,36
CS8653,24/5/2018,77
CS7948,24/5/2018,65
CS8184,24/5/2018,40
CS7917,24/5/2018,21
CS8263,24/5/2018,70
CS7475,24/5/2018,42
CS7522,24/5/2018,34
CS8165,24/5/2018,74
CS7648,24/5/2018,59
CS7205,24/5/2018,53
CS8749,24/5/2018,60
CS7167,24/5/2018,21
CS8327,24/5/2018,46
CS7285,24/5/2018,53
CS8231,24/5/2018,16
CS7128,24/5/2018,38
CS4703,25/5/2018,53
CS4375,25/5/2018,41
CS2959,25/5/2018,79
CS1477,25/5/2018,96
CS4804,25/5/2018,44
CS5854,25/5/2018,105
CS5207,25/5/2018,54
CS3429,25/5/2018,99
CS5310,25/5/2018,51
CS4877,25/5/2018,103
CS2550,25/5/2018,72
CS1137,25/5/2018,53
CS5614,25/5/2018,61
CS1421,25/5/2018,81
CS2838,25/5/2018,80
CS1804,25/5/2018,53
CS1763,25/5/2018,58
CS4878,25/5/2018,104
CS4251,25/5/2018,94
CS2845,25/5/2018,62
CS4974,25/5/2018,100
CS5213,25/5/2018,56
CS5032,25/5/2018,79
CS3545,25/5/2018,91
CS2214,25/5/2018,68
CS2021,25/5/2018,65
CS5565,25/5/2018,93
CS3357,25/5/2018,37
CS1396,25/5/2018,90
CS3034,25/5/2018,43
CS4421,25/5/2018,67
CS3846,25/5/2018,53
CS5336,25/5/2018,35
CS1478,25/5/2018,39
CS2553,25/5/2018,81
CS1604,25/5/2018,65
CS1210,25/5/2018,48
CS4406,25/5/2018,42
CS5844,25/5/2018,98
CS4594,25/5/2018,58
CS4981,25/5/2018,72
CS4389,25/5/2018,88
CS1296,25/5/2018,90
CS4580,25/5/2018,95
CS1509,25/5/2018,59
CS4248,25/5/2018,99
CS2233,25/5/2018,35
CS5785,25/5/2018,90
CS3032,25/5/2018,83
CS2700,25/5/2018,74
CS4283,25/5/2018,48
CS4778,25/5/2018,87
CS3814,25/5/2018,105
CS3487,25/5/2018,85
CS4720,25/5/2018,47
CS5993,25/5/2018,98
CS2894,25/5/2018,38
CS3122,25/5/2018,51
CS4525,25/5/2018,91
CS4973,25/5/2018,59
CS1935,25/5/2018,44
CS4776,25/5/2018,98
CS5365,25/5/2018,41
CS4011,25/5/2018,58
CS4424,25/5/2018,80
CS4632,25/5/2018,99
CS2201,25/5/2018,40
CS5867,25/5/2018,42
CS4012,25/5/2018,77
CS2536,25/5/2018,76
CS5870,25/5/2018,96
CS4308,25/5/2018,88
CS5116,25/5/2018,104
CS3909,25/5/2018,64
CS3770,25/5/2018,82
CS3802,25/5/2018,72
CS4956,25/5/2018,65
CS1920,25/5/2018,102
CS2639,25/5/2018,49
CS5929,25/5/2018,57
CS4862,25/5/2018,37
CS3018,25/5/2018,62
CS8959,25/5/2018,62
CS7477,25/5/2018,24
CS7421,25/5/2018,59
CS8838,25/5/2018,63
CS8214,25/5/2018,30
CS7478,25/5/2018,11
CS8553,25/5/2018,71
CS7210,25/5/2018,33
CS7296,25/5/2018,31
CS8233,25/5/2018,60
CS8700,25/5/2018,27
CS8894,25/5/2018,29
CS3112,26/5/2018,35
CS3852,26/5/2018,82
CS2594,26/5/2018,75
CS1815,26/5/2018,101
CS1695,26/5/2018,71
CS3561,26/5/2018,67
CS4775,26/5/2018,69
CS2554,26/5/2018,87
CS3606,26/5/2018,66
CS3719,26/5/2018,77
CS2907,26/5/2018,74
CS2360,26/5/2018,45
CS5080,26/5/2018,50
CS5101,26/5/2018,101
CS1741,26/5/2018,59
CS4234,26/5/2018,39
CS4822,26/5/2018,54
CS3020,26/5/2018,39
CS3968,26/5/2018,72
CS1831,26/5/2018,62
CS1454,26/5/2018,72
CS1840,26/5/2018,68
CS3401,26/5/2018,77
CS1494,26/5/2018,77
CS5244,26/5/2018,71
CS4437,26/5/2018,55
CS2715,26/5/2018,66
CS2570,26/5/2018,97
CS2637,26/5/2018,97
CS4003,26/5/2018,88
CS5417,26/5/2018,83
CS2847,26/5/2018,103
CS2472,26/5/2018,60
CS1123,26/5/2018,58
CS3325,26/5/2018,67
CS2589,26/5/2018,90
CS5565,26/5/2018,95
CS2499,26/5/2018,80
CS4319,26/5/2018,91
CS4254,26/5/2018,85
CS4968,26/5/2018,84
CS3654,26/5/2018,86
CS5238,26/5/2018,41
CS4443,26/5/2018,80
CS4947,26/5/2018,80
CS5030,26/5/2018,66
CS4944,26/5/2018,104
CS5591,26/5/2018,94
CS4425,26/5/2018,43
CS3676,26/5/2018,69
CS3069,26/5/2018,67
CS3006,26/5/2018,103
CS2725,26/5/2018,104
CS4395,26/5/2018,80
CS3071,26/5/2018,74
CS3351,26/5/2018,77
CS3972,26/5/2018,95
CS2639,26/5/2018,64
CS5800,26/5/2018,101
CS4700,26/5/2018,105
CS3253,26/5/2018,54
CS3742,26/5/2018,48
CS1120,26/5/2018,53
CS2612,26/5/2018,65
CS1338,26/5/2018,63
CS6095,26/5/2018,99
CS1435,26/5/2018,70
CS4190,26/5/2018,65
CS3962,26/5/2018,65
CS4673,26/5/2018,96
CS4512,26/5/2018,36
CS5912,26/5/2018,60
CS5201,26/5/2018,48
CS4796,26/5/2018,84
CS3116,26/5/2018,86
CS5306,26/5/2018,69
CS2488,26/5/2018,57
CS1649,26/5/2018,89
CS5141,26/5/2018,83
CS5933,26/5/2018,104
CS3937,26/5/2018,97
CS4846,26/5/2018,79
CS1511,26/5/2018,78
CS3010,26/5/2018,69
CS5200,26/5/2018,45
CS5601,26/5/2018,86
CS5290,26/5/2018,73
